,value
annual_income_ugx,142080000.0
loan_amount_ugx,29600000.0
interest_rate_pct,11.14
loan_pct_income,0.15
credit_hist_years,10.0
age,33.0
membership_years,9.0
land_size_acres,1.9
num_guarantors,3.0
annual_savings_ugx,5000000.0
collateral_ugx,3800000.0
debt_to_income,0.14705882352941177
income_per_acre,152255000.0
savings_to_income,0.03519144144144144
collateral_coverage,0.12162162162162163
high_interest_flag,0.0
experienced_member,1.0
multi_guarantors,1.0
prior_default_num,0.0
rainfall_trend,-75.0
total_rainfall_mm,316.85
avg_temp_c,22.0
weather_risk_score,0.17
primary_crop_enc,31.0
home_ownership_enc,2.0
loan_purpose_enc,3.0
loan_grade_enc,1.0
region_enc,1.0
district_enc,8.0
weather_desc_enc,2.0
